ID	NAME	HP	MP	ATK	DEF	MONEY	NPCID	TYPE
15
4001	Ä¾½£	0	0	200	0	200	3001	0
4002	Ìú½£	0	0	300	0	300	3001	0
4003	½ð½£	0	0	400	0	400	3001	0

4101	Ä¾¼×	200	200	0	200	200	3002	1
4102	Ìú¼×	300	300	0	300	300	3002	1
4103	½ð¼×	400	400	0	400	400	3002	1

4201	²ÝÐ¬	200	200	0	200	200	3002	2
4202	²¼Ð¬	300	300	0	300	300	3002	2
4203	Õ½Ñ¥	400	400	0	400	400	3002	2

4301	ÐÞ¹´	200	200	200	200	200	3004	3
4302	ß÷É£	300	300	300	300	300	3004	3
4303	õùõ÷	400	400	400	400	400	3004	3

4401	ºìÒ©	500	0	0	0	100	3003	10
4402	À¶Ò©	0	500	0	0	100	3003	10
